combo_label,M,organo_id,n_seeds_con_datos,edep_medio_J,s_between_J,se_within_medio_J,ratio_se_within_sobre_s_between,ic95_s_between_low,ic95_s_between_high
GCR_He_min_6,2500,14,3,1.82412e-10,1.25387620202315e-11,9.620534110000001e-12,0.7672634742151665,1.5126147442807012e-10,2.135625255719299e-10
GCR_He_min_6,2500,15,3,5.74545e-11,1.5176815265067965e-11,4.323938493333334e-12,0.2849042053826416,1.9750157956332506e-11,9.515884204366749e-11
GCR_He_min_6,2500,16,3,1.9049766666666665e-10,3.0594148547284877e-11,1.4540813026666668e-11,0.47528085327143754,1.1449145447953847e-10,2.665038788537948e-10
GCR_He_min_6,2500,17,3,1.234073e-10,6.099432590733338e-11,9.441496633333333e-12,0.15479303185803678,-2.8123234342491284e-11,2.749378343424913e-10
GCR_He_min_6,2500,18,3,6.043976666666667e-11,8.195892375045766e-12,4.65554615e-12,0.568034075724915,4.007839808803767e-11,8.080113524529568e-11
GCR_He_min_6,2500,19,3,6.607306666666667e-10,7.287779147540996e-11,3.3156055170000003e-11,0.45495417051966164,4.796775847661124e-10,8.417837485672209e-10
GCR_He_min_6,2500,20,3,4.933133333333334e-10,4.6357690260984026e-11,2.7093320003333332e-11,0.5844406796543066,3.7814515216836964e-10,6.084815144982972e-10
GCR_He_min_6,2500,21,3,6.083023333333334e-11,6.1438901864643825e-12,5.288251936666668e-12,0.8607334727950097,4.55667321953594e-11,7.609373447130728e-11
GCR_He_min_6,2500,22,3,5.41853e-10,7.929370254314019e-11,3.8151637100000004e-11,0.48114334274204673,3.4486062509268133e-10,7.388453749073186e-10
GCR_He_min_6,2500,23,3,4.22708e-10,6.48460700197013e-11,1.5890747106666666e-11,0.24505335638441614,2.616084305904701e-10,5.838075694095299e-10
GCR_He_min_6,2500,24,3,4.9729033333333337e-11,1.7525308519490704e-11,7.243245566666666e-12,0.4133020288122813,6.190239765714698e-12,9.326782690095197e-11
GCR_He_min_6,2500,25,3,5.7255966666666676e-11,1.6270676141246662e-11,5.825618080000001e-12,0.3580440068640959,1.6834104253718814e-11,9.767782907961453e-11
GCR_He_min_6,2500,26,3,2.499133333333333e-10,8.490528978416668e-12,1.0364926006666666e-11,1.2207632802402306,2.2881998778337948e-10,2.710066788832871e-10
GCR_He_min_6,2500,27,3,2.3197566666666666e-10,2.2334504300148092e-11,9.597325096666666e-12,0.4297084442838084,1.764892042698553e-10,2.8746212906347804e-10
GCR_He_min_6,2500,28,3,1.90996e-09,3.097703864154868e-10,5.904977613333334e-11,0.1906243421672059,1.1403855932210384e-09,2.6795344067789613e-09
GCR_He_min_6,2500,29,3,3.6229966666666667e-09,2.402172958663329e-10,5.6745167280000004e-11,0.23622431963256893,3.026215660245915e-09,4.219777673087418e-09
GCR_He_min_6,2500,30,3,2.5395333333333333e-10,5.505008746889811e-11,2.2643692366666664e-11,0.4113289080505053,1.171902976628288e-10,3.907163690038379e-10
GCR_He_min_6,2500,31,3,8.488803333333333e-10,5.630363548948979e-11,4.9130900433333335e-11,0.8726061826416983,7.090030604193052e-10,9.887576062473615e-10
GCR_He_min_6,2500,32,3,8.304513333333333e-10,1.6027843123868332e-10,3.067913769333333e-11,0.1914115171719306,4.322655026370081e-10,1.2286371640296585e-09
GCR_He_min_6,2500,33,3,2.7236866666666663e-10,6.074563034764998e-11,1.1520855996666666e-11,0.1896573618667267,1.2145597620533708e-10,4.232813571279962e-10
